i,Size,Fraction,Acc from small,Beta
1,5999.999999999997,1.8311518742706313e-05,99.99994990840071,0.65
2,4525.166377999494,0.00024060578194806225,99.99811875652644,0.65
3,3412.8551247628416,0.0014829679864045886,99.97405817833163,0.65
4,2573.9562105933505,0.005577238168084051,99.82576137969117,0.65
5,1941.2633504366681,0.016314653596959515,99.26803756288277,0.65
6,1464.0899407064428,0.03681617382217766,97.63657220318682,0.65
7,1104.2084290086773,0.059586990410615215,93.95495482096905,0.65
8,832.7878095422851,0.07211945255467896,87.99625577990753,0.65
9,628.0838992914321,0.07096782787698232,80.78431052443963,0.65
10,473.6973572727351,0.06103232348079047,73.6875277367414,0.65
11,357.25989241296566,0.04826613617843549,67.58429538866235,0.6499999999999999
12,269.44340889247826,0.03627988313432212,62.757681770818806,0.65
13,203.2127091156353,0.026470284476612704,59.129693457386594,0.6500000000000001
14,153.2618864787106,0.019106156635728837,56.482665009725324,0.65
15,115.58925595370616,0.014409063675815617,54.57204934615244,0.65
16,87.17676911661478,0.013107010201410247,53.13114297857088,0.65
17,65.74823075818834,0.015620136385463184,51.82044195842985,0.65
18,49.58694720665099,0.020788565307804915,50.258428319883535,0.65
19,37.39819771452881,0.026167801982284473,48.17957178910304,0.6499999999999999
20,28.205511149260566,0.02959271926321854,45.562791590874596,0.65
21,21.272438454487286,0.030211552528362093,42.60351966455274,0.65
22,16.04355387871824,0.028377506320814448,39.58236441171653,0.65
23,12.099958432599852,0.02501332789048192,36.74461377963509,0.65
24,9.125720845732051,0.021108712371845827,34.2432809905869,0.65
25,6.882567524352631,0.017548354643802177,32.132409753402314,0.65
26,5.190793859251957,0.015090822108638697,30.377574289022096,0.65
27,3.9148676411688634,0.014248856210933311,28.868492078158226,0.65
28,2.9525712373559214,0.015079111513648798,27.443606457064895,0.65
29,2.226812681988563,0.017115888821495062,25.935695305700015,0.65
30,1.6794496464395878,0.019570256280971848,24.22410642355051,0.65
31,1.2666315122685934,0.0216607638082818,22.267080795453325,0.65
32,0.9552863887720818,0.02286538895467494,20.101004414625145,0.65
33,0.7204716413053297,0.022998103344511963,17.81446551915765,0.65
34,0.5433756745894981,0.022145190342240148,15.514655184706454,0.65
35,0.4098108888791985,0.020545984767994005,13.30013615048244,0.65
36,0.3090770759490393,0.01848397297313669,11.245537673683039,0.65
37,0.2331041987158314,0.016216072984401978,9.39714037636937,0.65
38,0.17580588043323217,0.013940195351299388,7.775533077929172,0.65
39,0.13259180986517688,0.01178953407978451,6.381513542799233,0.65
